,Instruction,Number of memory acess,Number of micro instruction
566,ASR @-(R1),4,6
567,ASR @X(R1),5,7
568,LSL R1,1,3
569,LSL (R1)+,3,5
570,LSL -(R1),3,5
571,LSL X(R1),4,6
572,LSL @R1,3,5
573,LSL @(R1)+,4,6
574,LSL @-(R1),4,6
575,LSL @X(R1),5,7
576,ROL R1,1,3
577,ROL (R1)+,3,5
578,ROL -(R1),3,5
579,ROL X(R1),4,6
580,ROL @R1,3,5
581,ROL @(R1)+,4,6
582,ROL @-(R1),4,6
583,ROL @X(R1),5,7
584,RLC R1,1,3
585,RLC (R1)+,3,5
586,RLC -(R1),3,5
587,RLC X(R1),4,6
588,RLC @R1,3,5
589,RLC @(R1)+,4,6
590,RLC @-(R1),4,6
591,RLC @X(R1),5,7
592,BR Address,1,3
593,BEQ Address,1,3
594,BNE Address,1,3
595,BLO Address,1,3
596,BLS Address,1,3
597,BHI Address,1,3
598,BHS Address,1,3
599,HLT,1,3
600,NOP,1,3
601,"MOV R1,R2",1,4
602,"MOV R1,(R2)+",2,6
603,"MOV R1,-(R2)",2,6
604,"MOV R1,X(R2)",3,7
605,"MOV R1,@R2",2,5
606,"MOV R1,@(R2)+",3,6
607,"MOV R1,@-(R2)",3,6
608,"MOV R1,@X(R2)",4,7
609,"MOV (R1)+,R2",2,5
610,"MOV (R1)+,(R2)+",3,7
611,"MOV (R1)+,-(R2)",3,7
612,"MOV (R1)+,X(R2)",4,8
613,"MOV (R1)+,@R2",3,6
614,"MOV (R1)+,@(R2)+",4,7
615,"MOV (R1)+,@-(R2)",4,7
616,"MOV (R1)+,@X(R2)",5,8
617,"MOV -(R1),R2",2,5
618,"MOV -(R1),(R2)+",3,7
619,"MOV -(R1),-(R2)",3,7
620,"MOV -(R1),X(R2)",4,8
621,"MOV -(R1),@R2",3,6
622,"MOV -(R1),@(R2)+",4,7
623,"MOV -(R1),@-(R2)",4,7
624,"MOV -(R1),@X(R2)",5,8
625,"MOV X(R1),R2",3,6
626,"MOV X(R1),(R2)+",4,8
627,"MOV X(R1),-(R2)",4,8
628,"MOV X(R1),X(R2)",5,9
629,"MOV X(R1),@R2",4,7
630,"MOV X(R1),@(R2)+",5,8
631,"MOV X(R1),@-(R2)",5,8
632,"MOV X(R1),@X(R2)",6,9
633,"MOV @R1,R2",2,5
634,"MOV @R1,(R2)+",3,7
635,"MOV @R1,-(R2)",3,7
636,"MOV @R1,X(R2)",4,8
637,"MOV @R1,@R2",3,6
638,"MOV @R1,@(R2)+",4,7
639,"MOV @R1,@-(R2)",4,7
640,"MOV @R1,@X(R2)",5,8
641,"MOV @(R1)+,R2",3,6
642,"MOV @(R1)+,(R2)+",4,8
643,"MOV @(R1)+,-(R2)",4,8
644,"MOV @(R1)+,X(R2)",5,9
645,"MOV @(R1)+,@R2",4,7
646,"MOV @(R1)+,@(R2)+",5,8
647,"MOV @(R1)+,@-(R2)",5,8
648,"MOV @(R1)+,@X(R2)",6,9
649,"MOV @-(R1),R2",3,6
650,"MOV @-(R1),(R2)+",4,8
651,"MOV @-(R1),-(R2)",4,8
652,"MOV @-(R1),X(R2)",5,9
653,"MOV @-(R1),@R2",4,7
654,"MOV @-(R1),@(R2)+",5,8
655,"MOV @-(R1),@-(R2)",5,8
656,"MOV @-(R1),@X(R2)",6,9
657,"MOV @X(R1),R2",4,7
658,"MOV @X(R1),(R2)+",5,9
659,"MOV @X(R1),-(R2)",5,9
660,"MOV @X(R1),X(R2)",6,10
661,"MOV @X(R1),@R2",5,8
662,"MOV @X(R1),@(R2)+",6,9
663,"MOV @X(R1),@-(R2)",6,9
664,"MOV @X(R1),@X(R2)",7,10
